A;B;lat;long;id;date;category;location;mode;price;antigüedad;area Costruida;area privada;valor arriendo;valor administracion;parqueaderos;Habitaciones;baños;estrato
2838;709;62.301;238030;11166-M2903658;24/07/2021;Casa;La Palma;Arriendo;$ 5.200.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida115 m²'; 'Área privada115 m²'; 'Valor arriendo$5.200.000';; 'Parqueaderos1'; '2Habitaciones'; '3Baños';" '7Estrato']"""
2839;709;6.214.261;-7.557.278;737-6930;23/08/2021;Casa;Manila;Arriendo;$ 5.000.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida224 m²'; 'Área privada224 m²'; 'Valor arriendo$5.000.000';;; '3Habitaciones'; '3Baños';" '6Estrato']"""
2840;709;62.033.024;-7.556.075;687-M2759642;22/09/2021;Casa;y Arriendo, EL POBLADO;Venta y Arriendo;$ 700.000.000; 'AntigüedadMás de 20 años'; 'Área construida136 m²'; 'Área privada136 m²'; 'Valor arriendo$3.500.000'; 'Valor administración$470.000'; 'Parqueaderos2'; '2Habitaciones'; '3Baños'; '6Estrato'
2841;710;6.179.826;;687-M2656709;23/08/2021;Casa;y Arriendo, EL POBLADO;Venta y Arriendo;$ 3.000.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida820 m²'; 'Área privada820 m²'; 'Valor arriendo$15.500.000';; 'Parqueaderos3'; '4Habitaciones'; '5Baños';" '6Estrato']"""
2842;710;62.053.194;;687-M2323492;24/07/2021;Casa;y Arriendo, EL POBLADO;Venta y Arriendo;$ 1.800.000.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida380 m²'; 'Área privada380 m²'; 'Valor arriendo$16.000.000'; 'Valor administración$1.350.000'; 'Parqueaderos4'; '4Habitaciones'; '5Baños';" '6Estrato']"""
2843;710;6.242.249;-7.558.577;2364-D13003;19/06/2021;Casa;Conquistadores;Arriendo;$ 4.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida300 m²'; 'Área privada300 m²'; 'Valor arriendo$4.000.000';; 'Parqueaderos1'; '5Habitaciones'; '4Baños';" '5Estrato']"""
2844;710;62.385.097;-7.559.806;10280-149549;22/09/2021;Casa;LAURELES;Arriendo;$ 7.000.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida357 m²'; 'Área privada357 m²'; 'Valor arriendo$7.000.000';;; '1Habitaciones'; '2Baños'; '6Estrato'
2845;711;6.183.681;-755.639;849-3864935;24/07/2021;Casa;El Poblado;Arriendo;$ 7.000.000; 'AntigüedadMás de 20 años'; 'Área construida380 m²'; 'Área privada380 m²'; 'Valor arriendo$7.000.000';; 'Parqueaderos2'; '4Habitaciones'; '5Baños';" '6Estrato']"""
2846;711;62.442.613;-75.563;11049-M3030228;23/08/2021;Casa;Torres De Bombona Medellin;Arriendo;$ 2.500.000; 'AntigüedadMás de 20 años'; 'Área construida430 m²'; 'Área privada430 m²'; 'Valor arriendo$2.500.000';;; '5Habitaciones'; '3Baños';" '4Estrato']"""
2847;711;63.061.175;-75.560.486;11391-A1843;19/06/2021;Casa;Toscana;Arriendo;$ 1.150.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida120 m²'; 'Área privada120 m²'; 'Valor arriendo$1.150.000';;; '4Habitaciones'; '2Baños';" '3Estrato']"""
