A;B;lat;long;id;date;category;location;mode;price;antigüedad;area Costruida;area privada;valor arriendo;valor administracion;parqueaderos;Habitaciones;baños;estrato
492;122;0;0;687-1820658;22/09/2021;Casa;Poblado;Arriendo;$ 8.000.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida650 m²'; 'Área privada650 m²'; 'Valor arriendo$8.000.000';; 'Parqueaderos3'; '4Habitaciones'; '5Baños'; '6Estrato'
493;123;62.500.367;-7.558.806;737-395;19/06/2021;Casa;FLORIDA NUEVA;Arriendo;$ 3.600.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida200 m²'; 'Área privada200 m²'; 'Valor arriendo$3.600.000';; 'Parqueaderos1'; '4Habitaciones'; '3Baños';" '5Estrato']"""
494;123;61.998.167;-7.555.501;687-M2753545;23/08/2021;Casa;EL POBLADO;Arriendo;$ 10.200.000; 'AntigüedadMás de 20 años'; 'Área construida790 m²'; 'Área privada790 m²'; 'Valor arriendo$10.200.000';; 'Parqueaderos4'; '4Habitaciones'; '5Baños';" '6Estrato']"""
495;123;62.099.347;-7.557.609;687-M2724683;24/07/2021;Casa;PATIO BONITO;Arriendo;$ 9.500.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida550 m²'; 'Área privada550 m²'; 'Valor arriendo$9.500.000';; 'Parqueaderos4'; '5Habitaciones'; '3Baños';" '6Estrato']"""
496;123;6.251.708;-755.629;2264-38453;22/09/2021;Casa;CENTRO MED;Arriendo;$ 3.100.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida180 m²'; 'Área privada180 m²'; 'Valor arriendo$3.100.000';; '0Parqueaderos'; '1Habitaciones'; '2Baños';
497;124;62.577;-7.560.283;11397-A1533;23/08/2021;Casa;Santa Lucia;Arriendo;$ 2.200.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida160 m²'; 'Área privada160 m²'; 'Valor arriendo$2.200.000';; 'Parqueaderos1'; '5Habitaciones'; '2Baños';" '4Estrato']"""
498;124;6.299.015;-7.557.542;11395-a1034;19/06/2021;Casa;Pedregal;Arriendo;$ 700.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida65 m²'; 'Área privada65 m²'; 'Valor arriendo$700.000';;; '3Habitaciones'; '1Baños';" '3Estrato']"""
499;124;6.251.282;;525-3873386;24/07/2021;Casa;El Centro;Arriendo;$ 8.000.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida450 m²'; 'Área privada450 m²'; 'Valor arriendo$8.000.000';;; '5Habitaciones';" '4Baños']""";
500;124;61.799.564;-7.556.169;10842-M3012415;22/09/2021;Casa;EL POBLADO SAN LUCAS;Arriendo;$ 14.000.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida333 m²'; 'Área privada333 m²'; 'Valor arriendo$14.000.000';; 'Parqueaderos4'; '4Habitaciones'; '5Baños'; '6Estrato'
501;125;6.212.194;-75.560.776;2264-42737;24/07/2021;Casa;LAS LOMAS;Arriendo;$ 5.200.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida210 m²'; 'Área privada210 m²'; 'Valor arriendo$5.200.000';; 'Parqueaderos2'; '3Habitaciones'; '5Baños';" '6Estrato']"""
502;125;6.217.212;;10842-M2840283;23/08/2021;Casa;EL POBLADO CASTROPOL;Arriendo;$ 3.500.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida150 m²'; 'Área privada150 m²'; 'Valor arriendo$3.500.000';; 'Parqueaderos2'; '3Habitaciones'; '4Baños';" '6Estrato']"""
503;125;62.106.595;-7.557.531;2264-40747;19/06/2021;Casa;PATIO BONITO;Arriendo;$ 3.600.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida180 m²'; 'Área privada180 m²'; 'Valor arriendo$3.600.000';;" '0Parqueaderos']"""; '1Habitaciones'; '4Baños';
504;125;6.212.101;-7.557.162;2895-M2056303;22/09/2021;Casa;EL POBLADO MANILA;Arriendo;$ 5.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida200 m²'; 'Área privada200 m²'; 'Valor arriendo$5.000.000';;; '5Habitaciones'; '2Baños'; '5Estrato'
505;126;624.764;-7.556.582;11392-M2848454;19/06/2021;Casa;Robledo;Arriendo;$ 900.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida85 m²'; 'Área privada85 m²'; 'Valor arriendo$900.000';; 'Parqueaderos1'; '3Habitaciones'; '2Baños';" '2Estrato']"""
506;126;624.764;-7.556.582;11392-M3001840;24/07/2021;Casa;Los Colores;Arriendo;$ 3.500.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida260 m²'; 'Área privada260 m²'; 'Valor arriendo$3.500.000';; 'Parqueaderos1'; '4Habitaciones'; '3Baños';" '5Estrato']"""
507;126;6.215.165;-75.567.894;2895-1334276;23/08/2021;Casa;CASTROPOL;Arriendo;$ 26.400.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida600 m²'; 'Área privada600 m²'; 'Valor arriendo$26.400.000';; 'Parqueaderos1'; '5Habitaciones'; '5Baños';" '6Estrato']"""
508;126;62.437.916;-7.560.607;2264-44415;22/09/2021;Casa;SIMÓN BOLÍVAR;Arriendo;$ 2.500.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida188 m²'; 'Área privada188 m²'; 'Valor arriendo$2.500.000';;; '4Habitaciones'; '2Baños'; '5Estrato'
509;127;62.330.184;-7.559.153;4673-22899;19/06/2021;Casa;La Candelaria;Arriendo;$ 4.500.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida300 m²'; 'Área privada300 m²'; 'Valor arriendo$4.500.000';; 'Parqueaderos1'; '3Habitaciones'; '4Baños';" '7Estrato']"""
510;127;62.005.677;-7.557.171;687-M2606411;23/08/2021;Casa;EL POBLADO;Arriendo;$ 3.900.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida225 m²'; 'Área privada225 m²'; 'Valor arriendo$3.900.000';; 'Parqueaderos2'; '3Habitaciones'; '3Baños';" '6Estrato']"""
511;127;624.457;-7.560.224;4673-M2876888;24/07/2021;Casa;Laureles;Arriendo;$ 5.500.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida400 m²'; 'Área privada400 m²'; 'Valor arriendo$5.500.000';;; '5Habitaciones'; '4Baños';" '7Estrato']"""
512;127;6.202.575;-75.552.505;10842-M3030111;22/09/2021;Casa;EL POBLADO LA CALERA;Arriendo;$ 8.900.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida340 m²'; 'Área privada340 m²'; 'Valor arriendo$8.900.000';; 'Parqueaderos3'; '3Habitaciones'; '4Baños'; '6Estrato'
513;128;625.722;280;11166-M2865264;19/06/2021;Casa;Velodromo;Arriendo;$ 3.500.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida260 m²'; 'Área privada260 m²'; 'Valor arriendo$3.500.000';; 'Parqueaderos1'; '1Habitaciones'; '3Baños';" '5Estrato']"""
514;128;0;0;10842-M3000480;24/07/2021;Casa;EL POBLADO EL TESORO;Arriendo;$ 5.000.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida195 m²'; 'Área privada195 m²'; 'Valor arriendo$5.000.000';; 'Parqueaderos2'; '3Habitaciones'; '4Baños';" '6Estrato']"""
515;128;62.362.356;-7.559.922;2264-AC-18365;23/08/2021;Casa;LAURELES;Arriendo;$ 5.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida500 m²'; 'Área privada500 m²'; 'Valor arriendo$5.000.000';;; '5Habitaciones'; '4Baños';" '5Estrato']"""
516;128;6.192.103;-755.574;687-M2061726;22/09/2021;Casa;EL POBLADO EL TESORO;Arriendo;$ 5.700.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida225 m²'; 'Área privada225 m²'; 'Valor arriendo$5.700.000';; 'Parqueaderos2'; '3Habitaciones'; '4Baños'; '6Estrato'
517;129;6.200.642;-75.552.574;10842-M2834854;19/06/2021;Casa;EL POBLADO LA CALERA;Arriendo;$ 11.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida836 m²'; 'Área privada836 m²'; 'Valor arriendo$11.000.000';; 'Parqueaderos4'; '4Habitaciones'; '5Baños';" '6Estrato']"""
518;129;6.246.533;.;12257-M2871294;23/08/2021;Casa;Simon Bolivar;Arriendo;$ 3.000.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida220 m²'; 'Área privada220 m²'; 'Valor arriendo$3.000.000';;; '4Habitaciones'; '3Baños';" '5Estrato']"""
519;129;6.236.723;.;12257-M2989304;24/07/2021;Casa;Buenos Aires;Arriendo;$ 2.300.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida180 m²'; 'Área privada180 m²'; 'Valor arriendo$2.300.000';;; '5Habitaciones'; '5Baños';" '3Estrato']"""
520;129;625.653;3;11166-M2996939;22/09/2021;Casa;Floresta;Arriendo;$ 2.200.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida95 m²'; 'Área privada95 m²'; 'Valor arriendo$2.200.000';; 'Parqueaderos1'; '3Habitaciones'; '3Baños'; '4Estrato'
521;130;61.963.596;-75.556.435;687-M2696948;19/06/2021;Casa;y Arriendo, El Poblado;Venta y Arriendo;$ 2.000.000.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida432 m²'; 'Área privada432 m²'; 'Valor arriendo$12.000.000'; 'Valor administración$1.300.000'; 'Parqueaderos4'; '4Habitaciones'; '5Baños';" '6Estrato']"""
522;130;62.417.192;-75.580.765;2511-1134;23/08/2021;Casa;Conquistadores;Arriendo;$ 2.500.000; 'AntigüedadMás de 20 años'; 'Área construida220 m²'; 'Área privada220 m²'; 'Valor arriendo$2.500.000';;; '3Habitaciones'; '3Baños';" '5Estrato']"""
523;130;62.421;-7.561.124;2895-1781821;24/07/2021;Casa;SANTA TERESITA;Arriendo;$ 2.200.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida112 m²'; 'Área privada112 m²'; 'Valor arriendo$2.200.000';;; '4Habitaciones'; '2Baños';" '4Estrato']"""
524;130;6.244.594;-7.558.383;2264-AC-16897;22/09/2021;Casa;LOS CONQUISTADORES;Arriendo;$ 4.800.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida290 m²'; 'Área privada290 m²'; 'Valor arriendo$4.800.000';; 'Parqueaderos1'; '5Habitaciones'; '4Baños'; '5Estrato'
525;131;62.289.767;-7.556.317;687-M1997807;19/06/2021;Casa;y Arriendo, EL POBLADO;Venta y Arriendo;$ 410.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida227 m²'; 'Área privada227 m²'; 'Valor arriendo$2.200.000'; 'Valor administración$387.000'; 'Parqueaderos2'; '4Habitaciones'; '4Baños';" '4Estrato']"""
526;131;6.247.704;-7.556.554;11049-M2979226;24/07/2021;Casa;La Candelaria;Arriendo;$ 1.200.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida60 m²'; 'Área privada60 m²'; 'Valor arriendo$1.200.000';; 'Parqueaderos2'; '2Habitaciones'; '1Baños';" '3Estrato']"""
527;131;6.184.332;-7.556.535;687-M2624591;23/08/2021;Casa;EL POBLADO;Arriendo;$ 3.600.000; 'AntigüedadMás de 20 años'; 'Área construida200 m²'; 'Área privada200 m²'; 'Valor arriendo$3.600.000';; 'Parqueaderos2'; '3Habitaciones'; '3Baños';" '6Estrato']"""
528;131;6.209.711;-7.558.846;10214-M3037303;22/09/2021;Casa;GUAYABAL CRISTO REY;Arriendo;$ 1.300.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida117 m²'; 'Área privada117 m²'; 'Valor arriendo$1.300.000';;; '3Habitaciones'; '1Baños'; '4Estrato'
529;132;61.863.832;-75.558.876;687-M2018520;19/06/2021;Casa;y Arriendo, EL POBLADO;Venta y Arriendo;$ 820.000.000; 'AntigüedadMás de 20 años'; 'Área construida314 m²'; 'Área privada314 m²'; 'Valor arriendo$11.800.000'; 'Valor administración$550.000'; 'Parqueaderos3'; '3Habitaciones'; '4Baños';" '5Estrato']"""
530;132;6.242.249;-7.558.577;2364-D13003;23/08/2021;Casa;Conquistadores;Arriendo;$ 4.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida300 m²'; 'Área privada300 m²'; 'Valor arriendo$4.000.000';; 'Parqueaderos1'; '5Habitaciones'; '4Baños';" '5Estrato']"""
531;132;6.246.924;-7.560.662;5076-209534;24/07/2021;Casa;Simón Bolívar;Arriendo;$ 2.800.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida230 m²'; 'Área privada207 m²'; 'Valor arriendo$2.800.000';;; '4Habitaciones'; '2Baños';" '5Estrato']"""
532;132;6.245.955;-7.558.111;4673-32365;22/09/2021;Casa;Conquistadores;Arriendo;$ 5.500.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida225 m²'; 'Área privada225 m²'; 'Valor arriendo$5.500.000';; 'Parqueaderos1'; '3Habitaciones'; '3Baños'; '5Estrato'
533;133;62.165.914;-7.556.982;687-M2253046;19/06/2021;Casa;y Arriendo, Poblado;Venta y Arriendo;$ 600.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida150 m²'; 'Área privada150 m²'; 'Valor arriendo$3.100.000'; 'Valor administración$384.000'; 'Parqueaderos2'; '3Habitaciones'; '4Baños';" '6Estrato']"""
534;133;62.087.965;-7.557.463;849-3438482;24/07/2021;Casa;El Poblado;Arriendo;$ 2.500.000; 'AntigüedadMás de 20 años'; 'Área construida75 m²'; 'Área privada75 m²'; 'Valor arriendo$2.500.000';; 'Parqueaderos1'; '2Habitaciones'; '2Baños';" '5Estrato']"""
535;133;63.050.537;-7.557.227;11395-a1030;23/08/2021;Casa;Pedregal;Arriendo;$ 900.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida85 m²'; 'Área privada85 m²'; 'Valor arriendo$900.000';;; '4Habitaciones'; '2Baños';" '3Estrato']"""
536;133;6.244.137;-75.593.376;12514-505956;22/09/2021;Casa;LAURELES;Arriendo;$ 6.000.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida400 m²'; 'Área privada400 m²'; 'Valor arriendo$6.000.000';; 'Parqueaderos2'; '5Habitaciones'; '5Baños'; '5Estrato'
537;134;6.211.996;-7.557.116;2895-M2103154;19/06/2021;Casa;SIMON BOLIVAR;Arriendo;$ 2.700.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida180 m²'; 'Área privada180 m²'; 'Valor arriendo$2.700.000';; 'Parqueaderos1'; '4Habitaciones'; '3Baños';" '4Estrato']"""
538;134;61.786.227;-7.565.333;11049-M3028186;23/08/2021;Casa;Alcazar De Los Prados;Arriendo;$ 900.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida69 m²'; 'Área privada69 m²'; 'Valor arriendo$900.000';;; '2Habitaciones'; '2Baños';" '3Estrato']"""
539;134;62.139.063;-755.722;10280-146784;24/07/2021;Casa;MANILA;Arriendo;$ 3.500.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida110 m²'; 'Área privada110 m²'; 'Valor arriendo$3.500.000';;; '1Habitaciones'; '2Baños';" '5Estrato']"""
540;134;626.429;-7.559.794;11166-M3060534;22/09/2021;Casa;Calasanz;Arriendo;$ 7.000.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida230 m²'; 'Área privada230 m²'; 'Valor arriendo$7.000.000';;; '5Habitaciones'; '3Baños'; '5Estrato'
541;135;6.218.156;-75.561.386;12647-M2854310;19/06/2021;Casa;LAS PALMAS;Arriendo;$ 4.500.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida350 m²'; 'Área privada350 m²'; 'Valor arriendo$4.500.000';; 'Parqueaderos1'; '4Habitaciones'; '2Baños';" '6Estrato']"""
542;135;62.420.993;-7.558.707;4855-M2062535;24/07/2021;Casa;LOS CONQUISTADORES;Arriendo;$ 4.000.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida286 m²'; 'Área privada286 m²'; 'Valor arriendo$4.000.000';; 'Parqueaderos1'; '4Habitaciones'; '3Baños';" '5Estrato']"""
543;135;624.682;-7.557.295;4673-33992;23/08/2021;Casa;La America;Arriendo;$ 2.100.000; 'AntigüedadMás de 20 años'; 'Área construida156 m²'; 'Área privada156 m²'; 'Valor arriendo$2.100.000';;; '5Habitaciones'; '3Baños';" '4Estrato']"""
544;135;62.482.514;-7.560.517;10164-M3041729;22/09/2021;Casa;Calasanz;Arriendo;$ 4.500.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida215 m²'; 'Área privada212 m²'; 'Valor arriendo$4.500.000';; 'Parqueaderos2'; '4Habitaciones'; '3Baños'; '5Estrato'
545;136;6.214.232;-755.591;849-M2911577;24/07/2021;Casa;El Poblado;Arriendo;$ 6.000.000; 'AntigüedadMás de 20 años'; 'Área construida300 m²'; 'Área privada300 m²'; 'Valor arriendo$6.000.000';; 'Parqueaderos2'; '3Habitaciones'; '3Baños';" '6Estrato']"""
546;136;6.197.904;-7.557.238;687-M2773708;23/08/2021;Casa;EL POBLADO;Arriendo;$ 3.500.000; 'AntigüedadMás de 20 años'; 'Área construida170 m²'; 'Área privada170 m²'; 'Valor arriendo$3.500.000';; 'Parqueaderos2'; '3Habitaciones'; '3Baños';" '6Estrato']"""
547;136;623.578;-7.559.447;4673-31717;19/06/2021;Casa;Belen;Arriendo;$ 2.500.000; 'AntigüedadMás de 20 años'; 'Área construida232 m²'; 'Área privada232 m²'; 'Valor arriendo$2.500.000';;; '3Habitaciones'; '3Baños';" '5Estrato']"""
548;136;6.266.642;-7.560.032;497-12919;22/09/2021;Casa;CALASANZ;Arriendo;$ 5.500.000; 'AntigüedadMás de 20 años'; 'Área construida212 m²'; 'Área privada212 m²'; 'Valor arriendo$5.500.000';;; '4Habitaciones'; '3Baños'; '5Estrato'
549;137;62.254.725;-75.566.475;687-M2185073;23/08/2021;Casa;Poblado;Arriendo;$ 2.200.000; 'AntigüedadMás de 20 años'; 'Área construida110 m²'; 'Área privada110 m²'; 'Valor arriendo$2.200.000';; 'Parqueaderos2'; '3Habitaciones'; '3Baños';" '6Estrato']"""
550;137;62.155.137;-7.557.208;687-M2560130;24/07/2021;Casa;EL POBLADO;Arriendo;$ 6.700.000; 'AntigüedadMás de 20 años'; 'Área construida290 m²'; 'Área privada290 m²'; 'Valor arriendo$6.700.000';;; '5Habitaciones'; '2Baños';" '4Estrato']"""
551;137;6.261.388;.;12257-M2871370;19/06/2021;Casa;Prado Centro;Arriendo;$ 3.500.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida280 m²'; 'Área privada280 m²'; 'Valor arriendo$3.500.000';;; '4Habitaciones'; '3Baños';" '4Estrato']"""
552;137;6.219.682;-7.556.776;12713-M3050086;22/09/2021;Casa;Las Palmas;Arriendo;$ 1.700.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida25 m²'; 'Área privada25 m²'; 'Valor arriendo$1.700.000'; 'Valor administración$999.999';; '1Habitaciones'; '1Baños'; '6Estrato'
553;138;62.398.977;-755.957;5076-209092;19/06/2021;Casa;Laureles;Arriendo;$ 13.500.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida600 m²'; 'Área privada600 m²'; 'Valor arriendo$13.500.000';; 'Parqueaderos1'; '5Habitaciones'; '5Baños';" '5Estrato']"""
554;138;62.358.003;-7.559.274;3221-8896;23/08/2021;Casa;Belen;Arriendo;$ 3.500.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida200 m²'; 'Área privada200 m²'; 'Valor arriendo$3.500.000';; 'Parqueaderos1'; '3Habitaciones'; '2Baños';" '5Estrato']"""
555;138;623.804;-7.559.957;2511-1033;24/07/2021;Casa;Laureles;Arriendo;$ 3.700.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida257 m²'; 'Área privada257 m²'; 'Valor arriendo$3.700.000';; 'Parqueaderos1'; '5Habitaciones'; '3Baños';" '5Estrato']"""
556;138;61.901.097;-7.555.843;2895-M2387682;22/09/2021;Casa;LOS BALSOS;Arriendo;$ 6.000.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida441 m²'; 'Área privada441 m²'; 'Valor arriendo$6.000.000';; 'Parqueaderos4'; '4Habitaciones'; '4Baños'; '6Estrato'
557;139;6.240.017;-75.598.656;2264-40913;23/08/2021;Casa;LAURELES;Arriendo;$ 9.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida350 m²'; 'Área privada350 m²'; 'Valor arriendo$9.000.000';; 'Parqueaderos1'; '5Habitaciones'; '4Baños';" '5Estrato']"""
558;139;623.297;-7.560.444;4229-M2890506;19/06/2021;Casa;Belen Los Molinos;Arriendo;$ 2.700.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida200 m²'; 'Área privada200 m²'; 'Valor arriendo$2.700.000';; 'Parqueaderos1'; '4Habitaciones'; '3Baños';" '7Estrato']"""
559;139;626.557;-7.555.751;11394-M2876787;24/07/2021;Casa;Manrique Central;Arriendo;$ 750.000; 'AntigüedadMás de 20 años'; 'Área construida80 m²'; 'Área privada80 m²'; 'Valor arriendo$750.000';;; '3Habitaciones'; '1Baños';" '3Estrato']"""
560;139;62.046.657;-7.556.292;687-M1955157;22/09/2021;Casa;EL POBLADO;Arriendo;$ 14.000.000; 'AntigüedadMás de 20 años'; 'Área construida400 m²'; 'Área privada400 m²'; 'Valor arriendo$14.000.000'; 'Valor administración$809.000'; 'Parqueaderos2'; '4Habitaciones'; '4Baños'; '6Estrato'
561;140;61.983.943;-75.569.374;687-M2200040;23/08/2021;Casa;y Arriendo, Poblado;Venta y Arriendo;$ 940.000.000; 'AntigüedadMás de 20 años'; 'Área construida267 m²'; 'Área privada267 m²'; 'Valor arriendo$4.300.000'; 'Valor administración$580.000'; 'Parqueaderos2'; '3Habitaciones'; '4Baños';" '6Estrato']"""
562;140;6.185.662;-7.557.065;687-M2426020;19/06/2021;Casa;y Arriendo, EL POBLADO;Venta y Arriendo;$ 1.900.000.000; 'AntigüedadMás de 20 años'; 'Área construida388 m²'; 'Área privada388 m²'; 'Valor arriendo$10.000.000'; 'Valor administración$1.000.000'; 'Parqueaderos4'; '3Habitaciones'; '5Baños';" '6Estrato']"""
563;140;6.201.524;-75.572.174;687-1482298;24/07/2021;Casa;EL POBLADO;Arriendo;$ 10.500.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida550 m²'; 'Área privada550 m²'; 'Valor arriendo$10.500.000';; 'Parqueaderos4'; '5Habitaciones'; '5Baños';" '6Estrato']"""
564;140;61.849.313;-7.556.289;687-M2624595;22/09/2021;Casa;EL POBLADO;Arriendo;$ 4.200.000; 'AntigüedadMás de 20 años'; 'Área construida200 m²'; 'Área privada200 m²'; 'Valor arriendo$4.200.000';; 'Parqueaderos2'; '3Habitaciones'; '3Baños'; '6Estrato'
565;141;6.243.001;-75.604.805;12536-4132806;24/07/2021;Casa;Simon Bolivar;Arriendo;$ 3.200.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida200 m²'; 'Área privada200 m²'; 'Valor arriendo$3.200.000';; 'Parqueaderos1'; '4Habitaciones'; '2Baños';" '4Estrato']"""
566;141;61.963.134;-7.557.788;687-M2144560;19/06/2021;Casa;EL POBLADO;Arriendo;$ 7.500.000; 'AntigüedadMás de 20 años'; 'Área construida340 m²'; 'Área privada340 m²'; 'Valor arriendo$7.500.000';; 'Parqueaderos3'; '5Habitaciones'; '5Baños';" '6Estrato']"""
567;141;6.158.633;-75.545.876;11704-95228;23/08/2021;Casa;El Poblado;Arriendo;$ 17.550.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida595000 m²'; 'Área privada2188 m²'; 'Valor arriendo$17.550.000'; 'Valor administración$450.000';; '4Habitaciones'; '5Baños';" '6Estrato']"""
568;141;6.205.254;-7.555.436;687-M2561422;22/09/2021;Casa;y Arriendo, EL POBLADO;Venta y Arriendo;$ 2.700.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida700 m²'; 'Área privada700 m²'; 'Valor arriendo$8.200.000'; 'Valor administración$1.170.000'; 'Parqueaderos2'; '5Habitaciones'; '5Baños'; '6Estrato'
569;142;62.052.326;;5136-26140;19/06/2021;Casa;Poblado;Arriendo;$ 10.800.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida263 m²'; 'Área privada264 m²'; 'Valor arriendo$10.800.000';; 'Parqueaderos2'; '5Habitaciones'; '4Baños';" '6Estrato']"""
570;142;62.155.137;-7.557.208;687-M2560130;23/08/2021;Casa;EL POBLADO;Arriendo;$ 6.700.000; 'AntigüedadMás de 20 años'; 'Área construida290 m²'; 'Área privada290 m²'; 'Valor arriendo$6.700.000';;; '5Habitaciones'; '2Baños';" '4Estrato']"""
571;142;62.123.566;-7.557.022;2895-M2122984;24/07/2021;Casa;EL POBLADO;Arriendo;$ 4.600.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida350 m²'; 'Área privada350 m²'; 'Valor arriendo$4.600.000';;; '3Habitaciones'; '3Baños';" '6Estrato']"""
572;142;6.206.186;-7.555.375;687-M2246084;22/09/2021;Casa;Poblado;Arriendo;$ 8.500.000; 'AntigüedadMás de 20 años'; 'Área construida650 m²'; 'Área privada650 m²'; 'Valor arriendo$8.500.000';; 'Parqueaderos4'; '5Habitaciones'; '5Baños'; '6Estrato'
573;143;6.208.497;-7.557.236;3221-8772;19/06/2021;Casa;Astorga;Arriendo;$ 13.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida380 m²'; 'Área privada380 m²'; 'Valor arriendo$13.000.000';; 'Parqueaderos4'; '3Habitaciones'; '2Baños';" '6Estrato']"""
574;143;624.117;-7.560.633;4673-M2876668;24/07/2021;Casa;La Castellana;Arriendo;$ 3.500.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida200 m²'; 'Área privada200 m²'; 'Valor arriendo$3.500.000';; 'Parqueaderos1'; '5Habitaciones'; '3Baños';" '7Estrato']"""
575;143;6.227.947;-7.560.015;12514-505650;23/08/2021;Casa;La Palma;Arriendo;$ 4.300.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida272 m²'; 'Área privada272 m²'; 'Valor arriendo$4.300.000';; 'Parqueaderos1'; '3Habitaciones'; '4Baños';" '4Estrato']"""
576;143;621.452;-7.557.093;2895-M2202644;22/09/2021;Casa;LA AGUACATALA;Arriendo;$ 8.500.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida400 m²'; 'Área privada400 m²'; 'Valor arriendo$8.500.000';; 'Parqueaderos4'; '5Habitaciones'; '4Baños'; '3Estrato'
577;144;62.250.776;-7.556.021;687-M2328290;19/06/2021;Casa;EL POBLADO;Arriendo;$ 2.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida123 m²'; 'Área privada123 m²'; 'Valor arriendo$2.000.000';; 'Parqueaderos1'; '4Habitaciones'; '3Baños';" '4Estrato']"""
578;144;6.212.044;-75.570.755;2895-M2073119;23/08/2021;Casa;LA CASTELLANA;Arriendo;$ 6.000.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida340 m²'; 'Área privada340 m²'; 'Valor arriendo$6.000.000';; 'Parqueaderos1'; '5Habitaciones'; '3Baños';" '5Estrato']"""
579;144;6.205.461;-7.554.999;687-M2436708;24/07/2021;Casa;EL POBLADO;Arriendo;$ 8.200.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida450 m²'; 'Área privada450 m²'; 'Valor arriendo$8.200.000';;" '4Parqueaderos']"""; '3Habitaciones'; '4Baños';
580;144;6.183.735;-755.556;687-M2593710;22/09/2021;Casa;y Arriendo, EL POBLADO;Venta y Arriendo;$ 2.900.000.000; 'AntigüedadMás de 20 años'; 'Área construida550 m²'; 'Área privada550 m²'; 'Valor arriendo$13.000.000'; 'Valor administración$750.000'; 'Parqueaderos3'; '5Habitaciones'; '5Baños'; '6Estrato'
